Designator,Mid X,Mid Y,Rotation,Layer
R9_6,37.5,-157.825,90.0,top
R9_5,94.5,-157.825,90.0,top
R9_4,151.5,-110.825,90.0,top
R9_3,94.5,-110.825,90.0,top
R9_2,151.5,-16.825,90.0,top
R9,151.5,-63.825,90.0,top
SW1_12,169.55,-39.75,180.0,top
SW1_11,55.55,-180.75,180.0,top
SW1_10,55.55,-86.75,180.0,top
SW1_9,112.55,-133.75,180.0,top
SW1_8,169.55,-133.75,180.0,top
SW1_7,112.55,-39.75,180.0,top
SW1_6,55.55,-133.75,180.0,top
SW1_5,112.55,-180.75,180.0,top
SW1_4,169.55,-180.75,180.0,top
SW1_3,169.55,-86.75,180.0,top
SW1_2,112.55,-86.75,180.0,top
SW1,55.55,-39.75,180.0,top
